ID,Text,Comment
Good.Timbit.DisplayName,madera,This is a reference to the timbits sold at tim hortons
Good.Timbit.PluralDisplayName,maderas,This is a reference to the timbits sold at tim hortons
Good.Beavertail.DisplayName,cola de castor,Beavertails are a typical canadian snack
Good.Beavertail.PluralDisplayName,colas de castor,Beavertails are a typical canadian snack
Need.Timbit.DisplayName,madera,This is a reference to the timbits sold at tim hortons
Need.Timbit.PluralDisplayName,maderas,This is a reference to the timbits sold at tim hortons
Need.Beavertail.DisplayName,cola de castor,Beavertails are a typical canadian snack
Need.Beavertail.PluralDisplayName,colas de castor,Beavertails are a typical canadian snack
Building.TimHortons.DisplayName,Tim Hortons,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.Description,Donde los castores se reúnen para disfrutar de Timberbits recién hechos,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.FlavorDescription,"""Si no estás comiendo Timberbits, ¿eres siquiera un castor?"" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
