ID,Text,Comment
Good.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Good.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Good.Beavertail.DisplayName,Бобровий хвіст,Beavertails are a typical canadian snack
Good.Beavertail.PluralDisplayName,Боброві хвости,Beavertails are a typical canadian snack
Need.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Need.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Need.Beavertail.DisplayName,Бобровий хвіст,Beavertails are a typical canadian snack
Need.Beavertail.PluralDisplayName,Боброві хвости,Beavertails are a typical canadian snack
Building.TimHortons.DisplayName,Тім Хортонс,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.Description,"Де збираються бобри, щоб насолодитися свіжоприготовленими тімбербітами",Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.FlavorDescription,"«Якщо ти не жуєш тімбербітс, ти взагалі бобер?» — Ма' Нгонель","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
