ID,Text,Comment
Good.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Good.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Good.Beavertail.DisplayName,Coda di castoro,Beavertails are a typical canadian snack
Good.Beavertail.PluralDisplayName,Code di castoro,Beavertails are a typical canadian snack
Need.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Need.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Need.Beavertail.DisplayName,Coda di castoro,Beavertails are a typical canadian snack
Need.Beavertail.PluralDisplayName,Code di castoro,Beavertails are a typical canadian snack
Building.TimHortons.DisplayName,Tim Horton,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.Description,Dove i castori si riuniscono per godersi i Timberbits appena fatti,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.FlavorDescription,"""Se non stai sgranocchiando Timberbits, sei almeno un castoro?"" —Ma'Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
