ID,Text,Comment
Good.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Good.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Good.Beavertail.DisplayName,Beavertail,Beavertails are a typical canadian snack
Good.Beavertail.PluralDisplayName,Beavertails,Beavertails are a typical canadian snack
Need.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Need.Timbit.PluralDisplayName,Timberbits,This is a reference to the timbits sold at tim hortons
Need.Beavertail.DisplayName,Beavertail,Beavertails are a typical canadian snack
Need.Beavertail.PluralDisplayName,Beavertails,Beavertails are a typical canadian snack
Building.TimHortons.DisplayName,Tim Hortons,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.Description,Where beavers gather to enjoy freshly made Timberbits,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.FlavorDescription,"""If you ain't munching Timberbits, are you even a beaver?"" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
